INDICATOR_CODE,PCA_EXCL_NAME,PCA_EXCL_SHORT_NAME,PCA_EXCL_DESCRIPTION,TYPE,GENERAL_SPECIFIC,PCA_CATEGORY,PCA_CATEGORY_DESCRIPTION
AST006,ASTDIAGINVITE,ASTDIAGINV,"Patients who have not responded to at least two asthma care review invitations, made at least 7 days apart, in the period 93 days before and up to 186 days after their earliest unresolved asthma diagnosis.",PCA,Specific,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
AST006,ASTMONDEC_DAT,ASTMONDEC,Patient chose not to receive asthma monitoring in the 12 months leading up to and including the payment period end date,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
AST006,ASTPCADEC_DAT,ASTPCADEC,Patient chose not to receive asthma quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
AST006,ASTPCAPU_DAT,ASTPCAPU,Patient for whom asthma quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
AST006,ASTPCASUSP1,ASTPCASU1,Asthma service unavailable in the 6 months after asthma diagnosis or in the 6 months following registration for patients newly diagnosed in 12 months up to and including the payment period end date.,PCA,Specific,1,The investigative service or secondary care service is unavailable (where relevant to the indicator).
AST006,ASTREGINVITE,ASTREGINV,"Patients who have not responded to at least two asthma care review invitations, made at least 7 days apart, up to 186 days after their latest registration date.",PCA,Specific,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
AST006,DIAG_ASTTEST,DIAGASTTST,Patient's most recent asthma diagnosis was within the 6 months leading up to and including the payment period end date and they did not receive the required tests between 93 days before the date of diagnosis and the payment period end date.,Exclusion,n/a,n/a,n/a
AST006,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AST006,DIAG_DAT20,DIAG_DAT20,Patient diagnosed before 01 April 2020,Exclusion,n/a,n/a,n/a
AST006,REG_ASTTEST,REGASTTST,Patients with an existing unresolved asthma diagnosis whose most recent registration was within the 6 months leading up to and including the payment period end date and they did not receive the required tests between 93 days before the date of registration and the payment period end date.,Exclusion,n/a,n/a,n/a
AST006,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AST006,SPIRDECSP1,SPIRDECSP1,Patient chose not to receive spirometry in the 6 months after asthma diagnosis or in the 6 months following registration for patients newly diagnosed in 12 months up to and including the payment period end date.,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
AST006,SPIRPCASUSP1,SPIRPCASU1,Spirometry service unavailable in the 6 months after asthma diagnosis or in the 6 months following registration for patients newly diagnosed in 12 months up to and including the payment period end date.,PCA,Specific,1,The investigative service or secondary care service is unavailable (where relevant to the indicator).
AST006,SPIRPUSP1,SPIRPUSP1,Patient for whom spirometry was unsuitable in the 6 months after asthma diagnosis or in the 6 months following registration for patients newly diagnosed in 12 months up to and including the payment period end date.,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
AST007,ASTINVITE1_DAT,ASTINVITE1,"Patients who have not responded to at least two asthma care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
AST007,ASTMONDEC_DAT,ASTMONDEC,Patient chose not to receive asthma monitoring in the 12 months leading up to and including the payment period end date,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
AST007,ASTPCADEC_DAT,ASTPCADEC,Patient chose not to receive asthma quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
AST007,ASTPCAPU_DAT,ASTPCAPU,Patient for whom asthma quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
AST007,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AST007,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AST008,ASTINVITE1_DAT,ASTINVITE1,"Patients who have not responded to at least two asthma care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
AST008,ASTMONDEC_DAT,ASTMONDEC,Patient chose not to receive asthma monitoring in the 12 months leading up to and including the payment period end date,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
AST008,ASTPCADEC_DAT,ASTPCADEC,Patient chose not to receive asthma quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
AST008,ASTPCAPU_DAT,ASTPCAPU,Patient for whom asthma quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
AST008,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AST008,PAT_AGEO19,PAT_AGEO19,Patient age is over 19 years,Exclusion,n/a,n/a,n/a
AST008,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
AST008,SMOKSTATDEC,SMOKSTDEC,Patient chose not to disclose their smoking status in the 12 months leading up to and including the payment period end date.,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
BP002,BPDEC1,BPDEC1,Patient chose not to have their blood pressure recorded in the 5 years leading up to and including the payment period end date,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
BP002,PAT_AGEU45,PAT_AGEU45,Patient age is under 45 years,Exclusion,n/a,n/a,n/a
BP002,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
CAN003,CAN_DAT2,CAN_DAT2,Cancer diagnosis more than 18 months before end of payment period,Exclusion,n/a,n/a,n/a
CAN003,CANINVITE,CANINVITE,"Patient has not responded to at least two cancer care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
CAN003,CANPCADEC,CANPCADEC,Patient chose not to receive cancer quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
CAN003,CANPCAPU,CANPCAPU,Patient for whom cancer quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
CAN003,DIAG_CANRV,DIAG_CANRV,Patient's most recent episode of cancer was within the 6 months leading up to and including the payment period end date and they did not receive a cancer care review between the date of diagnosis and the payment period end date.,Exclusion,n/a,n/a,n/a
CAN003,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
CAN003,MDRV_DAT,MDRV_DAT,Cancer care review recorded more than 12 months before end of payment period,Exclusion,n/a,n/a,n/a
CAN003,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
CHD005,CHDINVITE,CHDINVITE,"Patient has not responded to at least two CHD care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
CHD005,CHDPCADEC,CHDPCADEC,Patient chose not to receive CHD quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
CHD005,CHDPCAPU,CHDPCAPU,Patient for whom CHD quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
CHD005,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
CHD005,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
CHD005,SALDEC,SALDEC,"Patient chose not to receive salicylates, oral anticoagulants and clopidogrel in the 12 months leading up to and including the payment period end date.",PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
CHD005,XCLO_CODC,XCLO_CODC,"Patient has persisting Salicylate, oral anticoagulant or Clopidogrel contraindications recorded or expiring Salicylate, oral anticoagulant  or Clopidogrel contraindications recorded in the 12 months before end of payment period",PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
CHD005,XSAL,XSAL,"Patient has persisting salicylate, oral anticoagulant or clopidogrel contraindications recorded or expiring salicylate, oral anticoagulant  or clopidogrel contraindications recorded in the 12 months before end of payment period or chose not to receive salicylate, oral anticoagulant or clopidogrel in the 12 months leading up to and including the payment period end date",PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
CHD007,CHDPCADEC,CHDPCADEC,Patient chose not to receive CHD quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
CHD007,CHDPCAPU,CHDPCAPU,Patient for whom CHD quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
CHD007,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
CHD007,FLUDEC,FLUDEC,Patient either did not receive a flu vaccination or did not consent to a flu vaccination in the 12 months leading up to and including the payment period end date.,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
CHD007,FLUEXPCON,FLUEXPCON,Patient's latest expiring flu vaccine contraindication was recorded within the 12 months leading up to and including the payment period end date.,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
CHD007,FLUINVITE,FLUINVITE,"Patient has not responded to at least two flu vaccination invitations, made at least 7 days apart, in the flu season.",PCA,Specific,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
CHD007,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
CHD007,XFLU,XFLU,Persisting Flu vaccine contraindications recorded,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
CHD008,BPDEC,BPDEC,Patient chose not to have their blood pressure recorded in the 12 months leading up to and including the payment period end date,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
CHD008,CHDINVITEB,CHDINVITEB,"Patient has not responded to at least two CHD care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date, and had no blood pressure recordings, or latest blood pressure reading is above target levels.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
CHD008,CHDPCADEC,CHDPCADEC,Patient chose not to receive CHD quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
CHD008,CHDPCAPU,CHDPCAPU,Patient for whom CHD quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
CHD008,DIAG_DAT9M,DIAG1_DT9M,Patient diagnosed within 9 months of end of payment period,PCA,General,6,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 9 months and has not achieved the defined clinical standards e.g. blood pressure control within target levels.
CHD008,HTMAX,HTMAX,Patient receiving maximal blood pressure therapy in the 12 months leading up to and including the payment period end date.,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
CHD008,PAT_AGEO79,PAT_AGEO79,Patient age is over 79 years,Exclusion,n/a,n/a,n/a
CHD008,REG_DAT9,REG1_DAT9,Patient registered within 9 months of end of payment period,PCA,General,6,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 9 months and has not achieved the defined clinical standards e.g. blood pressure control within target levels.
CHD009,BPDEC,BPDEC,Patient chose not to have their blood pressure recorded in the 12 months leading up to and including the payment period end date,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
CHD009,CHDINVITEB,CHDINVITEB,"Patient has not responded to at least two CHD care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date, and had no blood pressure recordings, or latest blood pressure reading is above target levels.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
CHD009,CHDPCADEC,CHDPCADEC,Patient chose not to receive CHD quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
CHD009,CHDPCAPU,CHDPCAPU,Patient for whom CHD quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
CHD009,DIAG_DAT9M,DIAG1_DT9M,Patient diagnosed within 9 months of end of payment period,PCA,General,6,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 9 months and has not achieved the defined clinical standards e.g. blood pressure control within target levels.
CHD009,HTMAX,HTMAX,Patient receiving maximal blood pressure therapy in the 12 months leading up to and including the payment period end date.,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
CHD009,PAT_AGEU80,PAT_AGEU80,Patient age is under 80 years,Exclusion,n/a,n/a,n/a
CHD009,REG_DAT9,REG1_DAT9,Patient registered within 9 months of end of payment period,PCA,General,6,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 9 months and has not achieved the defined clinical standards e.g. blood pressure control within target levels.
COPD007,COPDPCADEC,COPDPCADEC,Patient chose not to receive COPD quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
COPD007,COPDPCAPU,COPDPCAPU,Patient for whom COPD quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
COPD007,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
COPD007,FLUDEC,FLUDEC,Patient either did not receive a flu vaccination or did not consent to a flu vaccination in the 12 months leading up to and including the payment period end date.,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
COPD007,FLUEXPCON,FLUEXPCON,Patient's latest expiring flu vaccine contraindication was recorded within the 12 months leading up to and including the payment period end date.,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
COPD007,FLUINVITE,FLUINVITE,"Patient has not responded to at least two flu vaccination invitations, made at least 7 days apart, in the flu season.",PCA,Specific,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
COPD007,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
COPD007,XFLU,XFLU,Persisting Flu vaccine contraindications recorded,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
COPD008,COPDINVITE,COPDINVITE,"Patient not responded to at least two COPD care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
COPD008,COPDPCADEC,COPDPCADEC,Patient chose not to receive COPD quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
COPD008,COPDPCAPU,COPDPCAPU,Patient for whom COPD quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
COPD008,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
COPD008,MRC1,MRC1,Patient has not had a Medical Research Council (MRC) breathlessness scale score of >3 in the 12 months leading up to and including the payment period end date.,Exclusion,n/a,n/a,n/a
COPD008,PULRHBATT,PULRHBATT,Patient has attended pulmonary rehabilitation at any point between date of diagnosis and prior to an MRC breathlessness scale score of >3 up to and including the payment period end date.,Exclusion,n/a,n/a,n/a
COPD008,PULRHBDEC,PULRHBDEC,Patient chose not to be referred to a pulmonary rehabilitation service in the 12 months leading up to and including the payment period end date.,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
COPD008,PULRHBPU,PULRHBPU,Patient for whom pulmonary rehabilitation was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
COPD008,PULRHBSU,PULRHBSU,COPD service or pulmonary rehabilitation service unavailable in the 12 months leading up to and including the payment period end date.,PCA,Specific,1,The investigative service or secondary care service is unavailable (where relevant to the indicator).
COPD008,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
COPD010,COPDINVITE,COPDINVITE,"Patient not responded to at least two COPD care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
COPD010,COPDPCADEC,COPDPCADEC,Patient chose not to receive COPD quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
COPD010,COPDPCAPU,COPDPCAPU,Patient for whom COPD quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date.,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
COPD010,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
COPD010,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
CS005,CSPCADEC,CSDEC,Patient chose not to receive cervical smear,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
CS005,CSPCAINVITE,CSPCAINV,Patient has not responded to three invites for cervical screening.,PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
CS005,CSPU,CSPU,Cervical screening deemed unsuitable,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
CS005,NOCX,NOCX,Patient has had a complete removal of the cervix.,Exclusion,n/a,n/a,n/a
CS005,P_AGE25_49,P_AGE25_49,Patient age is less than 25 years or greater than 49 years,Exclusion,n/a,n/a,n/a
CS005,PREG_DAT,PREG_DAT,Patients who were pregnant in the 12 months leading up to and including the payment period end date.,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
CS005,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
CS006,CSPCADEC,CSDEC,Patient chose not to receive cervical smear,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
CS006,CSPCAINVITE,CSPCAINV,Patient has not responded to three invites for cervical screening.,PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
CS006,CSPU,CSPU,Cervical screening deemed unsuitable,PCA,Specific,2,Intervention described in the indicator is clinically unsuitable.
CS006,NOCX,NOCX,Patient has had a complete removal of the cervix.,Exclusion,n/a,n/a,n/a
CS006,P_AGE50_64,P_AGE50_64,Patient age is less than 50 years or greater than 64 years,Exclusion,n/a,n/a,n/a
CS006,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
DEM004,DEMCPDEC,DEMCPDEC,Patient chose not to receive a dementia care plan or chose not to receive a dementia care plan review in the 12 months leading up to and including the payment period end date,PCA,Specific,3,The patient has chosen not to receive the intervention described in the indicator.
DEM004,DEMINVITE,DEMINVITE,"Patient has not responded to at least two dementia care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
DEM004,DEMPCADEC,DEMPCADEC,Patient chose not to receive dementia quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
DEM004,DEMPCAPU,DEMPCAPU,Patient for whom dementia quality indicator care was unsuitable in the 12 months leading up to and including the payment period end date,PCA,General,2,Intervention described in the indicator is clinically unsuitable.
DEM004,DIAG_DAT,DIAG1_DAT,Patient diagnosed within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
DEM004,REG_DAT3,REG1_DAT3,Patient registered within 3 months of end of payment period,PCA,General,5,The patient has registered with the practice or has been newly diagnosed with the condition of interest in the preceding 3 months and has not received the defined clinical measurements e.g. blood pressure measurement.
DEP003,DEPR_DAT2,DEPR_DAT2,Patient has been diagnosed with depression at least 15 months before end of payment period,Exclusion,n/a,n/a,n/a
DEP003,DEPRINVITE,DEPRINVITE,"Patient has not responded to at least two depression care review invitations, made at least 7 days apart, in the 12 months leading up to and including the payment period end date.",PCA,General,4,"The patient has not responded to invitations for the intervention described in the indicator (a minimum of two invitations for the intervention in the preceding 12 months, except for the cervical screening indicators.where women should receive a total of three invitations for screening)."
DEP003,DEPRPCADEC,DEPRPCADEC,Patient chose not to receive depression quality indicator care in the 12 months leading up to and including the payment period end date.,PCA,General,3,The patient has chosen not to receive the intervention described in the indicator.
